activityID,catalog,startTime,sourceLocation,activeRegionNum,link,note,instruments,cmeAnalyses,linkedEvents
2024-02-19T02:36:00-CME-001,M2M_CATALOG,2024-02-19T02:36Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29303/-1,"CME visible to the NE in SOHO LASCO C2/C3 and STEREO A COR2. The CME starts out slowly in SOHO LASCO C2. The source is a filament, with rising material seen beyond the NE limb in SDO AIA 304 starting around 2024-02-18T22:00Z, and opening field lines in SDO AIA 171/193/24.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-19T15:24Z', 'latitude': 63.0, 'longitude': -107.0, 'halfAngle': 33.0, 'speed': 344.0, 'type': 'S', 'isMostAccurate': True, 'note': 'StereoCAT imagery also obtains similar parameters using SOHO LASCO C3 and STEREO A COR2 imagery.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29304/-1', 'enlilList': None}]",
2024-02-19T18:48:00-CME-001,M2M_CATALOG,2024-02-19T18:48Z,S25W65,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29308/-1,Faint CME seen to the SW in SOHO LASCO C2 and faintly in C3. There is a data gap for this event in STEREO A COR2 imagery. The source appears to be a minor filament eruption near S25W65 starting around 2024-09-20T17:27Z with minor brightening following. The filament is directed/deflected SW from the source location.,"[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-20T08:34Z', 'latitude': -64.0, 'longitude': 65.0, 'halfAngle': 42.0, 'speed': 270.0, 'type': 'S', 'isMostAccurate': True, 'note': 'Measurement based on potential source location and best fit of leading edge. The feature becomes too diffuse to track beyond SOHO LASCO C2 frames. There is a data gap in STEREO A COR2 imagery for this event.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29309/-1', 'enlilList': None}]",
2024-02-19T23:24:00-CME-001,M2M_CATALOG,2024-02-19T23:24Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29306/-1,"This CME is visible to the west in SOHO LASCO C2, C3 and after a data gap in STEREO A COR2 imagery. The source appears to be moving/opening field lines and possible flaring/brightening from an area near AR13583 that appears to stretch around the limb in SDO/AIA imagery. Moving/opening field lines begin around 2024-02-19T22:40Z (best seen in SDO/AIA 335 and 211).","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-20T04:19Z', 'latitude': 1.0, 'longitude': 90.0, 'halfAngle': 35.0, 'speed': 761.0, 'type': 'C', 'isMostAccurate': True, 'note': 'Parameters based on the rough middle of the potential source longitudes. Visible brightening of the source appears to stretch between W75 to W100.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29307/-1', 'enlilList': [{'modelCompletionTime': '2024-02-20T19:19Z', 'au': 2.0, 'estimatedShockArrivalTime': None, 'estimatedDuration': None, 'rmin_re': None, 'kp_18': None, 'kp_90': None, 'kp_135': None, 'kp_180': None, 'isEarthGB': False, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29313/-1', 'impactList': [{'isGlancingBlow': False, 'location': 'OSIRIS-APEX', 'arrivalTime': '2024-02-22T02:29Z'}, {'isGlancingBlow': True, 'location': 'Mars', 'arrivalTime': '2024-02-24T06:00Z'}], 'cmeIDs': ['2024-02-19T23:24:00-CME-001']}, {'modelCompletionTime': '2024-02-20T20:05Z', 'au': 5.5, 'estimatedShockArrivalTime': None, 'estimatedDuration': None, 'rmin_re': None, 'kp_18': None, 'kp_90': None, 'kp_135': None, 'kp_180': None, 'isEarthGB': False, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29314/-1', 'impactList': [{'isGlancingBlow': False, 'location': 'Lucy', 'arrivalTime': '2024-02-26T10:55Z'}, {'isGlancingBlow': False, 'location': 'OSIRIS-APEX', 'arrivalTime': '2024-02-22T02:21Z'}, {'isGlancingBlow': True, 'location': 'Mars', 'arrivalTime': '2024-02-24T06:00Z'}], 'cmeIDs': ['2024-02-19T23:24:00-CME-001']}]}]",[{'activityID': '2024-02-19T23:00:00-FLR-001'}]
2024-02-19T23:48:00-CME-001,M2M_CATALOG,2024-02-19T23:48Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29311/-1,"This CME is visible to the S/SW in SOHO LASCO C2, C3 and following a data gap in STEREO A COR2. The leading edge of the CME is very messy without a clear/defined front associated with it. The source appears to be a filament eruption beyond the SW limb starting around 2024-02-19T22:06Z as seen in SDO/AIA 304.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-20T07:28Z', 'latitude': -79.0, 'longitude': None, 'halfAngle': 22.0, 'speed': 527.0, 'type': 'C', 'isMostAccurate': True, 'note': 'These parameters are based off of a plane-of-sky measurement of the trailing edge using SOHO LASCO C3 difference imagery. There was no distinct front to analyze at the beginning of the event, it became too diffuse/messy to track. A later, more defined trailing edge of the CME was used for analysis.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29312/-1', 'enlilList': None}]",
2024-02-20T14:24:00-CME-001,M2M_CATALOG,2024-02-20T14:24Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29318/-1,"CME to the NW in SOHO LASCO, fully covered by a large data gap in STEREO A COR2 from 2024-02-20T13:53Z to 2024-02-21T03:09Z. The source is a narrow opening field lines and rising loop just beyond the NE limb at an apparent latitude of N17, seen in SDO AIA 171/193 starting at 2024-02-20T14:15Z. Ejecta seen is also in SDO AIA 304 starting as early as 2024-02-20T14:06Z.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-20T19:20Z', 'latitude': 24.0, 'longitude': None, 'halfAngle': 21.0, 'speed': 734.0, 'type': 'C', 'isMostAccurate': True, 'note': 'POS analysis only possible because of the data gap in STEREO A COR2. 3D parameters are likely close to POS parameters because the source seems to be closely behind the limb.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29319/-1', 'enlilList': None}]",
2024-02-21T02:12:00-CME-001,M2M_CATALOG,2024-02-21T02:12Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29320/-1,"Bright CME to the S/SE in SOHO LASCO C2/C3 and STEREO A COR2. Source is just beyond the SE limb at an apparent latitude of S42. The source location in UV imagery matches well with an estimated location of old Active Region 13575 (S37, estimated Lon: E95). Opening field lines and ejecta are seen in SDO AIA 171, and small amounts of brightening in SDO AIA 304 both seen originating from just beyond the SE limb and starting at 2024-02-21T01:30Z. This CME overlaps heavily with CME:2024-02-21T02:24Z, which also originated just beyond the SE limb.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-21T05:26Z', 'latitude': -66.0, 'longitude': -96.0, 'halfAngle': 23.0, 'speed': 1116.0, 'type': 'O', 'isMostAccurate': True, 'note': 'Measurement of the bulk using estimate of source location with southward deflection as seen in UV imagery and best fit between coronagraphs. Leading edge is only visible for 2 frames in STEREO A COR2 running difference imagery due to a data gap lasting from 2024-02-20T13:53Z to 2024-02-21T03:23Z.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29321/-1', 'enlilList': None}]",
2024-02-21T02:24:00-CME-001,M2M_CATALOG,2024-02-21T02:24Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29322/-1,"Bright CME to the SE in SOHO LASCO C2/C3 and STEREO A COR2. Source is just beyond the SE limb at an apparent latitude of S42. The source location in UV imagery matches well with an estimated location of old Active Region 13575 (S37, estimated Lon: E95). Surge of ejecta seen in SDO AIA 171 around 2024-02-21T02:00Z and bright ejecta in SDO AIA 304 starting at 2024-02-21T01:54Z, both originating from just beyond the SE limb. This CME overlaps heavily with CME:2024-02-21T02:12Z, which also originated just beyond the SE limb.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}, {'displayName': 'STEREO A: SECCHI/COR2'}]","[{'time21_5': '2024-02-21T06:27Z', 'latitude': -55.0, 'longitude': -95.0, 'halfAngle': 30.0, 'speed': 906.0, 'type': 'C', 'isMostAccurate': True, 'note': 'Measurement of the bulk using estimate of source location with southward deflection as seen in UV imagery and best fit between coronagraphs. Leading edge is only visible for 3 frames in STEREO A COR2 running difference imagery due to a data gap lasting from 2024-02-20T13:53Z to 2024-02-21T03:23Z.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29323/-1', 'enlilList': [{'modelCompletionTime': '2024-02-21T14:48Z', 'au': 2.0, 'estimatedShockArrivalTime': None, 'estimatedDuration': None, 'rmin_re': None, 'kp_18': None, 'kp_90': None, 'kp_135': None, 'kp_180': None, 'isEarthGB': False, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29324/-1', 'impactList': None, 'cmeIDs': ['2024-02-21T02:24:00-CME-001']}]}]",
2024-02-21T16:12:00-CME-001,M2M_CATALOG,2024-02-21T16:12Z,S35E90,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29325/-1,"Bright high southern latitude CME with a narrower bulk and a wider fuzzy shock front. Its source is the eruption (ejecta seen in AIA 193/171/304 after 2024-02-21T15:39Z) happening seemingly just beyond SE limb, especially judging by the posteruptive arcades peaking from behind the SE limb very soon after the initial eruption. There is also an opening of field lines seen in 193/171. The eruption is centered at apparent latitude of S35, but the CME seems to have a southward deflection as seen in coronagraphs. The source might be the returning old AR 13575 (currently at the estimated longitude E90). The (start of) the CME is covered by a data gap in STEREO A COR2 starting at 2024-02-21T13:23Z.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-21T20:12Z', 'latitude': -61.0, 'longitude': -90.0, 'halfAngle': 31.0, 'speed': 880.0, 'type': 'C', 'isMostAccurate': True, 'note': 'Approximate measurement of the narrower brighter bulk of the CME based on swpc_cat analysis with one coronagraph (SOHO) as STEREO has a data gap since 2024-02-21T13:23Z. Since the source is not seen (behind the limb), the longitude could possibly be a little higher (maybe up to -100 degrees), but we are using the approximate longitude of old returning AR 3575 as the likely longitude.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29326/-1', 'enlilList': None}, {'time21_5': '2024-02-21T19:56Z', 'latitude': -58.0, 'longitude': -90.0, 'halfAngle': 48.0, 'speed': 947.0, 'type': 'C', 'isMostAccurate': True, 'note': 'Analysis of a fainter wider shock of the CME. The longitude could be higher (maybe up to -100 degrees).', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29327/-1', 'enlilList': None}]",[{'activityID': '2024-02-21T15:39:00-FLR-001'}]
2024-02-21T17:34:00-CME-001,M2M_CATALOG,2024-02-21T17:34Z,,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29354/-1,"Very faint CME with the front not well seen in C3 and covered by a data gap in STEREO A COR2. There is a second front closely following the initial front in coronagraphs, also fading very soon. No clear source was found for this CME. There is a very minor flaring from AR 3590 () at the time, but no coronal signatures of a CME and there is a minor movement of field lines behind the limb in AIA 171 starting at 17:09Z but there are very minor.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-21T23:00Z', 'latitude': 31.0, 'longitude': None, 'halfAngle': 26.0, 'speed': 627.0, 'type': 'C', 'isMostAccurate': True, 'note': '', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29355/-1', 'enlilList': None}]",
2024-02-21T18:36:00-CME-001,M2M_CATALOG,2024-02-21T18:36Z,N05W40,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/29338/-1,"Wide partial halo CME to the west, associated with a beautiful filament eruption seen after 2024-02-21T17:30Z in AIA 304 traversing the western part of the disk and later as prominence off the western limb in SUVI 304. There is also an area of deep dimming and post eruptive arcades centered at (~N05W40) and stretching along 40th longitude (from lat -3 to 20) in AIA 193 associated with this eruption.","[{'displayName': 'SOHO: LASCO/C2'}, {'displayName': 'SOHO: LASCO/C3'}]","[{'time21_5': '2024-02-22T01:00Z', 'latitude': -2.0, 'longitude': 40.0, 'halfAngle': 45.0, 'speed': 576.0, 'type': 'C', 'isMostAccurate': True, 'note': 'Uncertain one-coronagraph analysis of the bright front of this CME based on the source location (dimming and filament eruption). Since the filament is stretching from north to south, the width along latitude could be lower.', 'levelOfData': 0, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/29339/-1', 'enlilList': [{'modelCompletionTime': '2024-02-22T13:46Z', 'au': 2.0, 'estimatedShockArrivalTime': '2024-02-24T16:44Z', 'estimatedDuration': 15.7, 'rmin_re': 6.3, 'kp_18': None, 'kp_90': 3, 'kp_135': 5, 'kp_180': 5, 'isEarthGB': False, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29340/-1', 'impactList': [{'isGlancingBlow': False, 'location': 'STEREO A', 'arrivalTime': '2024-02-24T14:26Z'}], 'cmeIDs': ['2024-02-21T18:36:00-CME-001']}, {'modelCompletionTime': '2024-02-22T14:12Z', 'au': 5.5, 'estimatedShockArrivalTime': '2024-02-24T16:16Z', 'estimatedDuration': 15.7, 'rmin_re': 6.4, 'kp_18': None, 'kp_90': 3, 'kp_135': 5, 'kp_180': 5, 'isEarthGB': False, 'link': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/29343/-1', 'impactList': [{'isGlancingBlow': False, 'location': 'STEREO A', 'arrivalTime': '2024-02-24T13:54Z'}, {'isGlancingBlow': False, 'location': 'Lucy', 'arrivalTime': '2024-02-28T12:00Z'}], 'cmeIDs': ['2024-02-21T18:36:00-CME-001']}]}]",[{'activityID': '2024-02-24T16:16:00-IPS-001'}]
